COMID,CAT_SOILS_A_P,ACC_SOILS_A_P,TOT_SOILS_A_P,CAT_SOILS_C_P,ACC_SOILS_C_P,TOT_SOILS_C_P,CAT_SOILS_GMU_A_P,ACC_SOILS_GMU_A_P,TOT_SOILS_GMU_A_P,CAT_SOILS_GMU_C_P,ACC_SOILS_GMU_C_P,TOT_SOILS_GMU_C_P,ACC_SRL25AG,ACC_SRL35AG,ACC_SRL45AG,ACC_SRL55AG,CAT_SRL25AG,CAT_SRL35AG,CAT_SRL45AG,CAT_SRL55AG,TOT_SRL25AG,TOT_SRL35AG,TOT_SRL45AG,TOT_SRL55AG,CAT_SALINAVE,ACC_SALINAVE,TOT_SALINAVE,CAT_PH,ACC_PH,TOT_PH,ACC_HGA,ACC_HGAC,ACC_HGAD,ACC_HGB,ACC_HGBC,ACC_HGBD,ACC_HGC,ACC_HGCD,ACC_HGD,ACC_HGVAR,CAT_HGA,CAT_HGAC,CAT_HGAD,CAT_HGB,CAT_HGBC,CAT_HGBD,CAT_HGC,CAT_HGCD,CAT_HGD,CAT_HGVAR,TOT_HGA,TOT_HGAC,TOT_HGAD,TOT_HGB,TOT_HGBC,TOT_HGBD,TOT_HGC,TOT_HGCD,TOT_HGD,TOT_HGVAR,ACC_KFACT,ACC_KFACT_UP,ACC_NO10AVE,ACC_NO200AVE,ACC_NO4AVE,ACC_OM,ACC_PERMAVE,ACC_RFACT,ACC_ROCKDEP,ACC_BDAVE,ACC_AWCAVE,ACC_WTDEP,CAT_KFACT,CAT_KFACT_UP,CAT_NO10AVE,CAT_NO200AVE,CAT_NO4AVE,CAT_OM,CAT_PERMAVE,CAT_RFACT,CAT_ROCKDEP,CAT_BDAVE,CAT_AWCAVE,CAT_WTDEP,TOT_KFACT,TOT_KFACT_UP,TOT_NO10AVE,TOT_NO200AVE,TOT_NO4AVE,TOT_OM,TOT_PERMAVE,TOT_RFACT,TOT_ROCKDEP,TOT_BDAVE,TOT_AWCAVE,TOT_WTDEP,ACC_SILTAVE,ACC_CLAYAVE,ACC_SANDAVE,CAT_SILTAVE,CAT_CLAYAVE,CAT_SANDAVE,TOT_SILTAVE,TOT_CLAYAVE,TOT_SANDAVE,...1,CAT_PMAP,ACC_PMAP,TOT_PMAP
3917156,944.31,944.31,944.31,845.75,845.75,845.75,1045.64,1045.64,1045.64,898.02,898.02,898.02,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,5.09,5.09,5.09,6.11,6.11,6.11,6.7,0,0,66.11,0,0,17.81,0,9.38,0,6.7,0,0,66.11,0,0,17.81,0,9.38,0,6.7,0,0,66.11,0,0,17.81,0,9.38,0,0.3,0.19,65.71,41.85,71,1.11,1.85,312.27,49.38,1.24,0.1,5.95,0.3,0.19,65.71,41.85,71,1.11,1.85,312.27,49.38,1.24,0.1,5.95,0.3,0.19,65.71,41.85,71,1.11,1.85,312.27,49.38,1.24,0.1,5.95,40.36,23.15,36.49,40.36,23.15,36.49,40.36,23.15,36.49,406365,1203.03,1203.03,1203.03
3917158,909.23,909.23,909.23,816,816,816,1056.54,1056.54,1056.54,1008.61,1008.61,1008.61,100,100,100,100,100,100,100,100,100,100,100,100,25,25,25,6.48,6.48,6.48,0,0,0,1,0,0,36,0,63,0,0,0,0,1,0,0,36,0,63,0,0,0,0,1,0,0,36,0,63,0,0.3,0.19,83.19,65.45,88.52,2.02,0.54,237.81,28.11,1.35,0.14,4.75,0.3,0.19,83.19,65.45,88.52,2.02,0.54,237.81,28.11,1.35,0.14,4.75,0.3,0.19,83.19,65.45,88.52,2.02,0.54,237.81,28.11,1.35,0.14,4.75,38.8,39.88,21.33,38.8,39.88,21.33,38.8,39.88,21.33,406366,733.33,733.33,733.33
3917160,913.01,913.01,913.01,820.07,820.07,820.07,1056.54,1056.54,1056.54,1008.61,1008.61,1008.61,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,25,25,25,6.48,6.48,6.48,0,0,0,1,0,0,36,0,63,0,0,0,0,1,0,0,36,0,63,0,0,0,0,1,0,0,36,0,63,0,0.3,0.19,83.19,65.45,88.52,2.02,0.54,226.4,28.11,1.35,0.14,4.75,0.3,0.19,83.19,65.45,88.52,2.02,0.54,226.4,28.11,1.35,0.14,4.75,0.3,0.19,83.19,65.45,88.52,2.02,0.54,226.4,28.11,1.35,0.14,4.75,38.8,39.88,21.33,38.8,39.88,21.33,38.8,39.88,21.33,406367,733.33,733.33,733.33
3917162,947.35,959.66,959.66,845.89,849.63,849.63,893.64,999.26,999.26,789.06,834.79,834.79,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,0,30.92,30.92,6.07,6.16,6.16,31.7,0,0,49.02,0,0,12.1,0,7.18,0,10.22,0,0,65.78,0,0,16.06,0,7.94,0,31.7,0,0,49.02,0,0,12.1,0,7.18,0,0.27,0.17,64.34,33.4,69.81,0.9,4.69,280.4,52.84,1.23,0.09,5.95,0.3,0.19,62.08,38.82,67.33,1.15,2.07,324.33,50.27,1.22,0.11,6,0.27,0.17,64.34,33.4,69.81,0.9,4.69,280.4,52.84,1.23,0.09,5.95,34.94,16.65,48.4,40.12,21.3,38.58,34.94,16.65,48.4,406368,1063.22,1167.33,1167.33
3917164,927.37,927.37,927.37,833.69,833.69,833.69,1096.72,1096.72,1096.72,1038.83,1038.83,1038.83,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,25,25,25,6.48,6.48,6.48,0,0,0,1,0,0,36,0,63,0,0,0,0,1,0,0,36,0,63,0,0,0,0,1,0,0,36,0,63,0,0.3,0.19,83.19,65.45,88.52,2.02,0.54,270.39,28.11,1.35,0.14,4.75,0.3,0.19,83.19,65.45,88.52,2.02,0.54,270.39,28.11,1.35,0.14,4.75,0.3,0.19,83.19,65.45,88.52,2.02,0.54,270.39,28.11,1.35,0.14,4.75,38.8,39.88,21.33,38.8,39.88,21.33,38.8,39.88,21.33,406369,746.71,746.71,746.71
3917172,945.28,945.28,945.28,848.61,848.61,848.61,1151.61,1151.61,1151.61,1014.47,1014.47,1014.47,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,13.12,13.12,13.12,6.25,6.25,6.25,7.27,0,0,40.13,0,0,23.84,0,28.76,0,7.27,0,0,40.13,0,0,23.84,0,28.76,0,7.27,0,0,40.13,0,0,23.84,0,28.76,0,0.3,0.18,72.02,49.55,77.36,1.42,1.71,313.21,41.95,1.28,0.12,5.51,0.3,0.18,72.02,49.55,77.36,1.42,1.71,313.21,41.95,1.28,0.12,5.51,0.3,0.18,72.02,49.55,77.36,1.42,1.71,313.21,41.95,1.28,0.12,5.51,39.1,28.57,32.34,39.1,28.57,32.34,39.1,28.57,32.34,406373,950.79,950.79,950.79
3917176,923.15,954.98,954.98,825.84,848.33,848.33,908.62,1001.26,1001.26,825.03,846.66,846.66,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,2.81,23.68,23.68,6.13,6.15,6.15,29.92,0,0,47.42,0,0,12.55,0,10.11,0,37.34,0,0,34.02,0,0,9.16,0,19.48,0,29.92,0,0,47.42,0,0,12.55,0,10.11,0,0.27,0.17,60.96,33.16,66.34,1.09,4.19,294.25,51.46,1.21,0.11,5.92,0.29,0.18,38.77,23.35,43.69,1.93,3.42,328.68,48.4,1.08,0.18,5.89,0.27,0.17,60.96,33.16,66.34,1.09,4.19,294.25,51.46,1.21,0.11,5.92,35.81,17.05,47.14,37.34,12.91,49.75,35.81,17.05,47.14,406375,878.47,1131.84,1131.84
3917178,930.89,957.08,957.08,832.06,849.28,849.28,918.44,994.13,994.13,815.18,835.16,835.16,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,0.88,25.37,25.37,6.09,6.14,6.14,31.27,0,0,48.54,0,0,11.86,0,8.32,0,49.31,0,0,25.1,0,0,4.96,0,20.64,0,31.27,0,0,48.54,0,0,11.86,0,8.32,0,0.27,0.17,61.1,32.37,66.5,1.03,4.4,291.35,52.3,1.21,0.1,5.95,0.28,0.17,27.67,15.14,32.44,2.2,4.08,348.7,49.1,1.01,0.2,5.93,0.27,0.17,61.1,32.37,66.5,1.03,4.4,291.35,52.3,1.21,0.1,5.95,35.5,16.37,48.13,36.28,8.18,55.54,35.5,16.37,48.13,406376,967.82,1156.25,1156.25
3917194,933.6,933.6,933.6,824.21,824.21,824.21,966.01,966.01,966.01,822.57,822.57,822.57,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,0,0,0,6.06,6.06,6.06,7,0,0,69,0,0,17,0,7,0,7,0,0,69,0,0,17,0,7,0,7,0,0,69,0,0,17,0,7,0,0.3,0.19,64.93,40.8,70.22,1.07,1.91,311.53,50.32,1.24,0.1,6,0.3,0.19,64.93,40.8,70.22,1.07,1.91,311.53,50.32,1.24,0.1,6,0.3,0.19,64.93,40.8,70.22,1.07,1.91,311.53,50.32,1.24,0.1,6,40.43,22.4,37.16,40.43,22.4,37.16,40.43,22.4,37.16,406383,1234.07,1234.07,1234.07
3917198,884.3,946.35,946.35,790.31,842.35,842.35,827.39,1005.89,1005.89,756.85,871.06,871.06,56.76,56.76,56.76,56.76,69.58,69.58,69.58,69.58,56.76,56.76,56.76,56.76,43.84,22.85,22.85,7.3,6.2,6.2,25.04,0,0,40.06,0,0,16.2,0,18.69,0,0,0,0,1,0,0,36,0,63,0,25.04,0,0,40.06,0,0,16.2,0,18.69,0,0.28,0.18,63.76,38.04,69.11,1.26,3.55,285.33,47.66,1.23,0.11,5.74,0.32,0.19,83.19,65.45,88.52,2.02,0.54,172,28.11,1.35,0.14,4.75,0.28,0.18,63.76,38.04,69.11,1.26,3.55,285.33,47.66,1.23,0.11,5.74,36.42,20.59,42.99,38.8,39.88,21.33,36.42,20.59,42.99,406384,737.39,1054.28,1054.28
3917200,883.37,942.61,942.61,789.22,839.18,839.18,787.91,1008.07,1008.07,713.47,878.77,878.77,64.01,64.01,64.01,64.01,64.24,64.24,64.24,64.24,64.01,64.01,64.01,64.01,61.86,23.26,23.26,7.3,6.23,6.23,23.42,0,0,37.54,0,0,17.71,0,21.32,0,0,0,0,1,0,0,36,0,63,0,23.42,0,0,37.54,0,0,17.71,0,21.32,0,0.28,0.18,64.95,39.71,70.3,1.3,3.35,278.5,46.63,1.24,0.12,5.68,0.32,0.19,83.19,65.45,88.52,2.02,0.54,172,28.11,1.35,0.14,4.75,0.28,0.18,64.95,39.71,70.3,1.3,3.35,278.5,46.63,1.24,0.12,5.68,36.57,21.77,41.65,38.8,39.88,21.33,36.57,21.77,41.65,406385,733.33,1033.46,0
3917212,908.1,908.1,908.1,811.97,811.97,811.97,884.42,884.42,884.42,786.25,786.25,786.25,73.27,73.27,73.27,73.27,73.27,73.27,73.27,73.27,73.27,73.27,73.27,73.27,1.18,1.18,1.18,6.11,6.11,6.11,23.93,0,0,50.8,0,0,12.32,0,12.94,0,23.93,0,0,50.8,0,0,12.32,0,12.94,0,23.93,0,0,50.8,0,0,12.32,0,12.94,0,0.29,0.18,50.12,30.7,55.2,1.53,2.77,298.03,49.65,1.15,0.14,5.96,0.29,0.18,50.12,30.7,55.2,1.53,2.77,298.03,49.65,1.15,0.14,5.96,0.29,0.18,50.12,30.7,55.2,1.53,2.77,298.03,49.65,1.15,0.14,5.96,38.75,16.84,44.41,38.75,16.84,44.41,38.75,16.84,44.41,406388,871.41,871.41,871.41
3917214,897.91,897.91,897.91,803.62,803.62,803.62,901.64,901.64,901.64,790.19,790.19,790.19,32.31,32.31,32.31,32.31,32.31,32.31,32.31,32.31,32.31,32.31,32.31,32.31,14.65,14.65,14.65,6.41,6.41,6.41,4.29,0,0,42.69,0,0,24.35,0,28.66,0,4.29,0,0,42.69,0,0,24.35,0,28.66,0,4.29,0,0,42.69,0,0,24.35,0,28.66,0,0.3,0.19,72,50.34,77.3,1.44,1.38,266.65,41.73,1.28,0.12,5.52,0.3,0.19,72,50.34,77.3,1.44,1.38,266.65,41.73,1.28,0.12,5.52,0.3,0.19,72,50.34,77.3,1.44,1.38,266.65,41.73,1.28,0.12,5.52,39.8,29.16,31.04,39.8,29.16,31.04,39.8,29.16,31.04,406389,813.33,813.33,813.33
3917218,893.01,905.64,905.64,798.14,809.81,809.81,779.02,875.68,875.68,718.07,779.91,779.91,47.1,47.1,47.1,47.1,21.73,21.73,21.73,21.73,47.1,47.1,47.1,47.1,27.11,5.02,5.02,6.58,6.18,6.18,19.72,0,0,45.25,0,0,15.76,0,19.27,0,0.13,0,0,2.25,0,0,35.65,0,61.97,0,19.72,0,0,45.25,0,0,15.76,0,19.27,0,0.29,0.18,55.43,35.95,60.55,1.57,2.42,283.13,46.81,1.18,0.14,5.8,0.3,0.19,82.86,65,88.19,2,0.56,177.02,28.51,1.35,0.14,4.78,0.29,0.18,55.43,35.95,60.55,1.57,2.42,283.13,46.81,1.18,0.14,5.8,38.86,20.25,40.89,38.83,39.56,21.62,38.86,20.25,40.89,406391,784.47,857.32,857.32
3917220,883.78,904.47,904.47,788.77,808.73,808.73,787.91,869.36,869.36,713.47,775.44,775.44,43.57,43.57,43.57,43.57,6.99,6.99,6.99,6.99,43.57,43.57,43.57,43.57,68,7.44,7.44,7.3,6.24,6.24,18.36,0,0,42.24,0,0,17.74,0,21.65,0,0,0,0,1,0,0,36,0,63,0,18.36,0,0,42.24,0,0,17.74,0,21.65,0,0.3,0.18,57.16,37.7,62.29,1.57,2.29,276.03,46.14,1.19,0.14,5.76,0.32,0.19,83.19,65.45,88.52,2.02,0.54,180,28.11,1.35,0.14,4.75,0.3,0.18,57.16,37.7,62.29,1.57,2.29,276.03,46.14,1.19,0.14,5.76,38.85,21.42,39.73,38.8,39.88,21.33,38.85,21.42,39.73,406392,733.33,849.86,849.86
3917228,888.63,888.64,888.64,794.05,794.05,794.05,783.9,783.9,783.9,715.01,715.01,715.01,33.72,33.72,33.72,33.72,33.72,33.72,33.72,33.72,33.72,33.72,33.72,33.72,40,40,40,7.04,7.04,7.04,0,0,0,1.64,0,0,44.59,0,53.78,0,0,0,0,1.64,0,0,44.59,0,53.78,0,0,0,0,1.64,0,0,44.59,0,53.78,0,0.31,0.21,80.56,61.35,85.85,1.59,0.48,180,37.07,1.32,0.14,5.15,0.31,0.21,80.56,61.35,85.85,1.59,0.48,180,37.07,1.32,0.14,5.15,0.31,0.21,80.56,61.35,85.85,1.59,0.48,180,37.07,1.32,0.14,5.15,38.72,37.26,24.03,38.72,37.26,24.03,38.72,37.26,24.03,406395,749.05,749.05,749.05
3917230,822.85,822.85,822.85,696.21,696.21,696.21,787.91,787.91,787.91,713.47,713.47,713.47,78.83,79.27,79.27,79.27,78.83,79.27,79.27,79.27,78.83,79.27,79.27,79.27,165.75,165.75,165.75,7.68,7.68,7.68,0,0,0,2.01,0,0,49.16,0,48.83,0,0,0,0,2.01,0,0,49.16,0,48.83,0,0,0,0,2.01,0,0,49.16,0,48.83,0,0.35,0.34,80.35,55.46,85.04,0.61,0.88,115.14,57.51,1.34,0.14,4.63,0.35,0.34,80.35,55.46,85.04,0.61,0.88,115.14,57.51,1.34,0.14,4.63,0.35,0.34,80.35,55.46,85.04,0.61,0.88,115.14,57.51,1.34,0.14,4.63,42.04,27.12,30.84,42.04,27.12,30.84,42.04,27.12,30.84,406396,733.33,733.33,733.33
3917244,834.55,854.61,812.65,723.82,778.31,746.49,787.91,891.29,867.58,713.47,794.21,775.66,23.3,24.63,24.63,24.63,51.1,51.14,51.14,51.14,22.07,23.23,23.23,23.23,307.6,62.37,57.43,7.94,6.4,6.34,23.45,0,0,33.29,0,0,19.6,0,23.66,0,0,0,0,1.2,0,0,37.82,0,60.98,0,19.95,0,0,37.56,0,0,19.25,0,23.24,0,0.27,0.2,67.7,38.17,73.73,1.15,4.73,370.52,48.47,1.21,0.13,5.6,0.37,0.39,84.8,57.82,89.07,0.55,1.32,117.48,58.51,1.4,0.14,3.51,0.27,0.19,66.12,37.55,72.17,1.24,4.68,428.77,47.46,1.2,0.13,5.61,36.13,18.81,45.06,44.9,23.43,31.67,37.12,18.51,44.38,406398,733.33,937.28,0
3917250,903.42,903.42,903.42,806.93,806.93,806.93,877.64,877.64,877.64,783.49,783.49,783.49,0,0,0,0,0,0,0,0,0,0,0,0,4.73,4.73,4.73,6.17,6.17,6.17,26.7,0,0,40.52,0,0,13.21,0,19.57,0,26.7,0,0,40.52,0,0,13.21,0,19.57,0,26.7,0,0,40.52,0,0,13.21,0,19.57,0,0.29,0.18,48.87,31.03,53.91,1.72,2.81,309.43,47.36,1.14,0.16,5.83,0.29,0.18,48.87,31.03,53.91,1.72,2.81,309.43,47.36,1.14,0.16,5.83,0.29,0.18,48.87,31.03,53.91,1.72,2.81,309.43,47.36,1.14,0.16,5.83,38.25,17.4,44.36,38.25,17.4,44.36,38.25,17.4,44.36,406399,891.19,891.19,891.19
