COMID,ACC_AWD_OXN_T_09,ACC_AWD_REDN_T_09,ACC_AWD_S_T_09,ACC_AWD_SS_S_09,ACC_AWDEP_CL_09,ACC_AWDEP_NA_09,ACC_DD_OXN_T_09,ACC_DD_REDN_T_09,ACC_DD_S_T_09,ACC_DD_SS_S_09,ACC_DDEP_CL_09,ACC_DDEP_NA_09,ACC_TD_OXN_T_09,ACC_TD_REDN_T_09,ACC_TD_S_T_09,ACC_TD_SS_S_09,ACC_TDEP_CL_09,ACC_TDEP_NA_09,ACC_TD_N_09,source
3917244,0.18,0.31,0.25,0.03,0.57,0.44,1.05,0.49,0.21,0.07,1.22,1.07,1.26,0.8,0.46,0.1,1.79,1.51,2.06,ACC_CMAQ09_CONUS
3917912,0.16,0.29,0.26,0.03,0.63,0.48,1.12,0.4,0.24,0.09,1.6,1.37,1.31,0.69,0.5,0.12,2.23,1.85,2,ACC_CMAQ09_CONUS
3917914,0.09,0.2,0.14,0.01,0.24,0.2,1,0.42,0.23,0.08,1.44,1.23,1.12,0.61,0.37,0.09,1.68,1.43,1.73,ACC_CMAQ09_CONUS
3917916,0.13,0.24,0.2,0.02,0.46,0.35,1.11,0.39,0.24,0.09,1.54,1.34,1.27,0.64,0.45,0.11,2,1.69,1.91,ACC_CMAQ09_CONUS
3917918,0.17,0.3,0.27,0.03,0.68,0.52,1.12,0.4,0.24,0.09,1.59,1.36,1.32,0.7,0.52,0.12,2.28,1.88,2.03,ACC_CMAQ09_CONUS
3917920,0.18,0.27,0.26,0.03,0.63,0.51,0.76,0.52,0.14,0.05,0.79,0.68,0.94,0.78,0.4,0.08,1.43,1.19,1.73,ACC_CMAQ09_CONUS
3917922,0.17,0.26,0.24,0.03,0.59,0.48,0.68,0.54,0.12,0.03,0.61,0.53,0.85,0.79,0.36,0.07,1.2,1.01,1.65,ACC_CMAQ09_CONUS
3917946,0.18,0.31,0.25,0.03,0.57,0.44,1.04,0.49,0.21,0.07,1.2,1.05,1.26,0.8,0.45,0.1,1.77,1.49,2.06,ACC_CMAQ09_CONUS
3917948,0.17,0.29,0.27,0.03,0.67,0.51,1.06,0.42,0.23,0.08,1.46,1.25,1.26,0.72,0.5,0.12,2.14,1.77,1.98,ACC_CMAQ09_CONUS
3917950,0.18,0.31,0.25,0.03,0.57,0.44,1.05,0.48,0.21,0.07,1.23,1.08,1.27,0.79,0.46,0.1,1.8,1.52,2.07,ACC_CMAQ09_CONUS
948010089,0.17,0.26,0.24,0.03,0.59,0.48,0.68,0.54,0.12,0.03,0.61,0.53,0.85,0.79,0.36,0.07,1.2,1.01,1.65,ACC_CMAQ09_CONUS
