COMID,ACC_AWD_OXN_T_10,ACC_AWD_REDN_T_10,ACC_AWD_S_T_10,ACC_AWD_SS_S_10,ACC_AWDEP_CL_10,ACC_AWDEP_NA_10,ACC_DD_OXN_T_10,ACC_DD_REDN_T_10,ACC_DD_S_T_10,ACC_DD_SS_S_10,ACC_DDEP_CL_10,ACC_DDEP_NA_10,ACC_TD_OXN_T_10,ACC_TD_REDN_T_10,ACC_TD_S_T_10,ACC_TD_SS_S_10,ACC_TDEP_CL_10,ACC_TDEP_NA_10,ACC_TD_N_10,source
3917164,0.2,0.29,0.42,0.1,2.36,1.52,1.32,0.41,0.3,0.12,2.14,1.85,1.57,0.7,0.72,0.22,4.5,3.37,2.28,ACC_CMAQ10_CONUS
3917172,0.2,0.29,0.42,0.1,2.36,1.52,1.32,0.41,0.3,0.12,2.14,1.85,1.57,0.7,0.72,0.22,4.5,3.37,2.28,ACC_CMAQ10_CONUS
3917176,0.16,0.25,0.33,0.08,1.79,1.17,1.29,0.42,0.29,0.12,2.03,1.77,1.5,0.67,0.62,0.19,3.82,2.93,2.17,ACC_CMAQ10_CONUS
3917178,0.16,0.24,0.33,0.07,1.73,1.13,1.29,0.42,0.29,0.12,2.02,1.76,1.49,0.66,0.61,0.19,3.75,2.89,2.15,ACC_CMAQ10_CONUS
3917194,0.14,0.2,0.27,0.06,1.38,0.91,1.37,0.42,0.3,0.12,1.98,1.77,1.53,0.62,0.56,0.17,3.36,2.68,2.16,ACC_CMAQ10_CONUS
3917198,0.17,0.25,0.34,0.08,1.82,1.18,1.25,0.43,0.28,0.11,1.94,1.69,1.46,0.67,0.62,0.19,3.76,2.88,2.13,ACC_CMAQ10_CONUS
3917200,0.17,0.24,0.34,0.08,1.78,1.16,1.22,0.43,0.27,0.11,1.87,1.63,1.42,0.67,0.6,0.18,3.65,2.79,2.1,ACC_CMAQ10_CONUS
3917230,0.2,0.26,0.28,0.05,0.98,0.69,0.72,0.62,0.15,0.04,0.73,0.63,0.92,0.88,0.43,0.09,1.7,1.32,1.79,ACC_CMAQ10_CONUS
3917244,0.18,0.29,0.31,0.06,1.38,0.93,1.24,0.52,0.25,0.09,1.55,1.38,1.48,0.8,0.57,0.15,2.93,2.31,2.28,ACC_CMAQ10_CONUS
3917912,0.16,0.24,0.32,0.07,1.69,1.1,1.28,0.42,0.29,0.11,2.01,1.76,1.48,0.66,0.6,0.19,3.7,2.86,2.14,ACC_CMAQ10_CONUS
3917914,0.09,0.16,0.15,0.02,0.55,0.39,1.16,0.43,0.26,0.1,1.82,1.57,1.27,0.59,0.4,0.13,2.37,1.95,1.86,ACC_CMAQ10_CONUS
3917916,0.13,0.2,0.24,0.05,1.2,0.8,1.3,0.43,0.28,0.11,1.94,1.71,1.45,0.62,0.52,0.16,3.14,2.51,2.07,ACC_CMAQ10_CONUS
3917918,0.17,0.25,0.34,0.08,1.84,1.2,1.28,0.42,0.29,0.11,2.01,1.75,1.49,0.67,0.63,0.19,3.85,2.95,2.16,ACC_CMAQ10_CONUS
3917920,0.18,0.22,0.3,0.07,1.48,0.99,0.82,0.48,0.17,0.06,1.01,0.89,1.02,0.69,0.47,0.12,2.5,1.88,1.71,ACC_CMAQ10_CONUS
3917922,0.17,0.2,0.28,0.06,1.31,0.88,0.72,0.49,0.14,0.05,0.79,0.7,0.91,0.69,0.42,0.1,2.1,1.58,1.6,ACC_CMAQ10_CONUS
3917946,0.18,0.29,0.31,0.06,1.37,0.93,1.23,0.52,0.25,0.09,1.53,1.36,1.47,0.8,0.57,0.15,2.91,2.29,2.27,ACC_CMAQ10_CONUS
3917948,0.17,0.24,0.33,0.08,1.77,1.16,1.21,0.43,0.27,0.11,1.85,1.61,1.41,0.67,0.6,0.18,3.62,2.77,2.09,ACC_CMAQ10_CONUS
3917950,0.18,0.29,0.31,0.06,1.38,0.93,1.25,0.51,0.25,0.09,1.57,1.39,1.49,0.8,0.57,0.15,2.95,2.33,2.29,ACC_CMAQ10_CONUS
948010089,0.17,0.2,0.28,0.06,1.31,0.88,0.72,0.49,0.14,0.05,0.79,0.7,0.91,0.69,0.42,0.1,2.1,1.58,1.6,ACC_CMAQ10_CONUS
