COMID,ACC_AWD_OXN_T_05,ACC_AWD_REDN_T_05,ACC_AWD_S_T_05,ACC_AWD_SS_S_05,ACC_AWDEP_CL_05,ACC_AWDEP_NA_05,ACC_DD_OXN_T_05,ACC_DD_REDN_T_05,ACC_DD_S_T_05,ACC_DD_SS_S_05,ACC_DDEP_CL_05,ACC_DDEP_NA_05,ACC_TD_OXN_T_05,ACC_TD_REDN_T_05,ACC_TD_S_T_05,ACC_TD_SS_S_05,ACC_TDEP_CL_05,ACC_TDEP_NA_05,ACC_TD_N_05,source
3917156,0.24,0.24,0.31,0.05,0.98,0.7,1.6,0.29,0.39,0.12,2.17,1.85,1.84,0.52,0.69,0.17,3.15,2.56,2.37,ACC_CMAQ05_CONUS
3917158,0.24,0.24,0.31,0.05,1.23,0.84,0.96,0.33,0.22,0.05,0.98,0.84,1.2,0.57,0.53,0.11,2.21,1.68,1.77,ACC_CMAQ05_CONUS
3917160,0.24,0.24,0.31,0.05,1.22,0.83,0.99,0.33,0.23,0.06,1.03,0.89,1.23,0.57,0.54,0.11,2.25,1.72,1.8,ACC_CMAQ05_CONUS
3917162,0.22,0.24,0.29,0.04,0.83,0.61,1.5,0.29,0.37,0.11,1.94,1.68,1.73,0.52,0.65,0.15,2.78,2.28,2.25,ACC_CMAQ05_CONUS
3917164,0.24,0.24,0.31,0.05,0.98,0.7,1.6,0.29,0.39,0.12,2.17,1.85,1.84,0.52,0.69,0.17,3.15,2.56,2.37,ACC_CMAQ05_CONUS
3917172,0.24,0.24,0.31,0.05,0.98,0.7,1.6,0.29,0.39,0.12,2.17,1.85,1.84,0.52,0.69,0.17,3.15,2.56,2.37,ACC_CMAQ05_CONUS
3917176,0.23,0.24,0.29,0.04,0.88,0.64,1.53,0.29,0.37,0.11,2,1.72,1.76,0.53,0.67,0.15,2.88,2.36,2.29,ACC_CMAQ05_CONUS
3917178,0.23,0.24,0.29,0.04,0.87,0.63,1.52,0.29,0.37,0.11,1.98,1.71,1.75,0.53,0.66,0.15,2.85,2.34,2.28,ACC_CMAQ05_CONUS
3917194,0.25,0.27,0.33,0.05,0.99,0.7,1.5,0.27,0.36,0.1,1.79,1.57,1.75,0.54,0.69,0.15,2.77,2.27,2.29,ACC_CMAQ05_CONUS
3917198,0.23,0.24,0.3,0.05,0.93,0.67,1.48,0.29,0.36,0.11,1.91,1.64,1.71,0.53,0.66,0.15,2.84,2.31,2.24,ACC_CMAQ05_CONUS
3917200,0.23,0.24,0.3,0.05,0.96,0.68,1.44,0.3,0.35,0.1,1.83,1.57,1.67,0.53,0.65,0.15,2.78,2.25,2.2,ACC_CMAQ05_CONUS
3917230,0.31,0.35,0.38,0.05,1.08,0.84,0.8,0.38,0.18,0.03,0.59,0.49,1.12,0.73,0.56,0.09,1.66,1.33,1.85,ACC_CMAQ05_CONUS
3917244,0.32,0.31,0.37,0.05,1.15,0.81,1.21,0.34,0.31,0.07,1.24,1.07,1.53,0.66,0.68,0.12,2.39,1.89,2.19,ACC_CMAQ05_CONUS
3917912,0.23,0.24,0.29,0.04,0.86,0.62,1.52,0.29,0.37,0.11,1.97,1.7,1.74,0.52,0.66,0.15,2.83,2.32,2.27,ACC_CMAQ05_CONUS
3917914,0.16,0.19,0.18,0.02,0.36,0.3,1.38,0.3,0.36,0.1,1.78,1.54,1.54,0.49,0.54,0.12,2.14,1.83,2.04,ACC_CMAQ05_CONUS
3917916,0.22,0.24,0.28,0.04,0.8,0.58,1.47,0.28,0.36,0.1,1.82,1.58,1.69,0.53,0.64,0.14,2.61,2.16,2.22,ACC_CMAQ05_CONUS
3917918,0.23,0.24,0.3,0.05,0.91,0.66,1.52,0.29,0.37,0.11,1.98,1.7,1.75,0.53,0.67,0.15,2.89,2.36,2.28,ACC_CMAQ05_CONUS
3917920,0.24,0.24,0.31,0.05,1.24,0.84,0.94,0.33,0.22,0.05,0.93,0.8,1.18,0.57,0.53,0.11,2.17,1.65,1.75,ACC_CMAQ05_CONUS
3917922,0.24,0.24,0.32,0.06,1.29,0.87,0.81,0.34,0.18,0.04,0.69,0.59,1.04,0.58,0.49,0.1,1.98,1.47,1.63,ACC_CMAQ05_CONUS
3917946,0.32,0.31,0.37,0.05,1.15,0.81,1.2,0.35,0.31,0.07,1.23,1.06,1.52,0.66,0.68,0.12,2.38,1.87,2.18,ACC_CMAQ05_CONUS
3917948,0.23,0.24,0.3,0.05,0.96,0.68,1.42,0.3,0.34,0.1,1.81,1.55,1.66,0.53,0.64,0.15,2.77,2.24,2.19,ACC_CMAQ05_CONUS
3917950,0.32,0.31,0.37,0.05,1.15,0.81,1.22,0.34,0.31,0.07,1.25,1.08,1.54,0.66,0.68,0.13,2.4,1.89,2.19,ACC_CMAQ05_CONUS
948010089,0.24,0.24,0.32,0.06,1.29,0.87,0.81,0.34,0.18,0.04,0.69,0.59,1.04,0.58,0.49,0.1,1.98,1.47,1.63,ACC_CMAQ05_CONUS
