COMID,ACC_AWD_OXN_T_11,ACC_AWD_REDN_T_11,ACC_AWD_S_T_11,ACC_AWD_SS_S_11,ACC_AWDEP_CL_11,ACC_AWDEP_NA_11,ACC_DD_OXN_T_11,ACC_DD_REDN_T_11,ACC_DD_S_T_11,ACC_DD_SS_S_11,ACC_DDEP_CL_11,ACC_DDEP_NA_11,ACC_TD_OXN_T_11,ACC_TD_REDN_T_11,ACC_TD_S_T_11,ACC_TD_SS_S_11,ACC_TDEP_CL_11,ACC_TDEP_NA_11,ACC_TD_N_11,source
3917200,0.17,0.31,0.28,0.05,1.06,0.71,1.07,0.5,0.24,0.1,1.8,1.47,1.26,0.8,0.51,0.14,2.86,2.19,2.06,ACC_CMAQ11_CONUS
3917230,0.2,0.39,0.27,0.03,0.67,0.48,0.75,1.51,0.12,0.03,0.62,0.5,0.94,1.89,0.39,0.06,1.28,0.99,2.83,ACC_CMAQ11_CONUS
3917244,0.18,0.35,0.27,0.04,0.84,0.59,1.02,0.68,0.2,0.08,1.37,1.16,1.22,1.03,0.47,0.11,2.22,1.74,2.25,ACC_CMAQ11_CONUS
3917912,0.16,0.28,0.26,0.04,0.97,0.65,1.12,0.47,0.26,0.1,1.96,1.61,1.3,0.75,0.51,0.15,2.93,2.26,2.05,ACC_CMAQ11_CONUS
3917914,0.09,0.15,0.11,0.01,0.31,0.22,1.03,0.5,0.25,0.1,1.84,1.52,1.13,0.65,0.35,0.11,2.15,1.74,1.78,ACC_CMAQ11_CONUS
3917916,0.13,0.23,0.2,0.03,0.69,0.47,1.12,0.47,0.25,0.1,1.89,1.57,1.26,0.7,0.44,0.13,2.58,2.04,1.96,ACC_CMAQ11_CONUS
3917918,0.17,0.3,0.28,0.05,1.07,0.71,1.12,0.47,0.25,0.1,1.95,1.59,1.31,0.77,0.53,0.15,3.01,2.31,2.08,ACC_CMAQ11_CONUS
3917920,0.18,0.34,0.31,0.05,1.07,0.74,0.75,0.67,0.14,0.05,0.9,0.74,0.95,1.01,0.45,0.1,1.97,1.47,1.96,ACC_CMAQ11_CONUS
3917922,0.17,0.34,0.3,0.05,1.01,0.7,0.67,0.71,0.11,0.04,0.67,0.55,0.86,1.05,0.41,0.08,1.68,1.25,1.91,ACC_CMAQ11_CONUS
3917946,0.18,0.35,0.27,0.04,0.84,0.59,1.02,0.7,0.2,0.07,1.36,1.14,1.22,1.05,0.47,0.11,2.2,1.73,2.26,ACC_CMAQ11_CONUS
3917948,0.17,0.31,0.28,0.05,1.06,0.71,1.06,0.5,0.23,0.09,1.78,1.45,1.26,0.8,0.51,0.14,2.84,2.17,2.06,ACC_CMAQ11_CONUS
3917950,0.18,0.35,0.27,0.04,0.84,0.59,1.03,0.68,0.2,0.08,1.38,1.17,1.23,1.02,0.47,0.11,2.23,1.75,2.25,ACC_CMAQ11_CONUS
948010089,0.17,0.34,0.3,0.05,1.01,0.7,0.67,0.71,0.11,0.04,0.67,0.55,0.86,1.05,0.41,0.08,1.68,1.25,1.91,ACC_CMAQ11_CONUS
