COMID,ACC_AWD_OXN_T_02,ACC_AWD_REDN_T_02,ACC_AWD_S_T_02,ACC_AWD_SS_S_02,ACC_AWDEP_CL_02,ACC_AWDEP_NA_02,ACC_DD_OXN_T_02,ACC_DD_REDN_T_02,ACC_DD_S_T_02,ACC_DD_SS_S_02,ACC_DDEP_CL_02,ACC_DDEP_NA_02,ACC_TD_OXN_T_02,ACC_TD_REDN_T_02,ACC_TD_S_T_02,ACC_TD_SS_S_02,ACC_TDEP_CL_02,ACC_TDEP_NA_02,ACC_TD_N_02,source
3917178,0.18,0.2,0.2,0.03,0.74,0.5,1.85,0.38,0.42,0.1,1.67,1.5,2.04,0.57,0.61,0.13,2.41,2.01,2.61,ACC_CMAQ02_CONUS
3917194,0.19,0.19,0.2,0.03,0.78,0.52,1.82,0.33,0.41,0.09,1.5,1.38,2.01,0.52,0.6,0.12,2.28,1.9,2.53,ACC_CMAQ02_CONUS
3917198,0.19,0.21,0.21,0.03,0.78,0.53,1.8,0.39,0.4,0.09,1.6,1.44,1.99,0.59,0.61,0.13,2.38,1.97,2.58,ACC_CMAQ02_CONUS
3917200,0.19,0.21,0.21,0.03,0.78,0.53,1.74,0.4,0.39,0.09,1.53,1.38,1.93,0.6,0.6,0.12,2.32,1.91,2.54,ACC_CMAQ02_CONUS
3917230,0.19,0.24,0.2,0.03,0.58,0.44,0.93,0.55,0.2,0.03,0.43,0.4,1.12,0.79,0.4,0.05,1.01,0.84,1.92,ACC_CMAQ02_CONUS
3917244,0.24,0.22,0.2,0.04,0.89,0.57,1.51,0.41,0.35,0.06,1.02,0.94,1.75,0.63,0.55,0.1,1.9,1.52,2.39,ACC_CMAQ02_CONUS
3917912,0.18,0.19,0.2,0.03,0.72,0.49,1.85,0.38,0.42,0.1,1.66,1.5,2.03,0.57,0.61,0.13,2.39,1.99,2.6,ACC_CMAQ02_CONUS
3917914,0.1,0.11,0.1,0.01,0.28,0.2,1.68,0.37,0.39,0.09,1.53,1.36,1.78,0.48,0.49,0.1,1.81,1.57,2.26,ACC_CMAQ02_CONUS
3917916,0.17,0.17,0.17,0.03,0.63,0.43,1.78,0.35,0.4,0.09,1.53,1.39,1.95,0.52,0.57,0.12,2.17,1.82,2.47,ACC_CMAQ02_CONUS
3917918,0.19,0.2,0.21,0.03,0.77,0.52,1.85,0.38,0.41,0.1,1.66,1.5,2.04,0.59,0.62,0.13,2.44,2.03,2.62,ACC_CMAQ02_CONUS
3917920,0.21,0.23,0.21,0.04,0.85,0.58,1.1,0.49,0.25,0.05,0.74,0.68,1.31,0.71,0.45,0.08,1.59,1.25,2.02,ACC_CMAQ02_CONUS
3917922,0.21,0.22,0.21,0.04,0.84,0.57,0.94,0.5,0.21,0.03,0.53,0.49,1.15,0.72,0.41,0.07,1.37,1.06,1.87,ACC_CMAQ02_CONUS
3917946,0.24,0.22,0.2,0.04,0.88,0.57,1.5,0.42,0.34,0.06,1.01,0.93,1.74,0.64,0.55,0.1,1.88,1.5,2.38,ACC_CMAQ02_CONUS
3917948,0.19,0.21,0.21,0.04,0.78,0.53,1.73,0.4,0.39,0.09,1.51,1.36,1.92,0.6,0.59,0.12,2.3,1.9,2.52,ACC_CMAQ02_CONUS
3917950,0.24,0.22,0.2,0.04,0.89,0.57,1.52,0.41,0.35,0.06,1.03,0.95,1.76,0.63,0.55,0.1,1.92,1.53,2.4,ACC_CMAQ02_CONUS
948010089,0.21,0.22,0.21,0.04,0.84,0.57,0.94,0.5,0.21,0.03,0.53,0.49,1.15,0.72,0.41,0.07,1.37,1.06,1.87,ACC_CMAQ02_CONUS
