COMID,ACC_AWD_OXN_T_04,ACC_AWD_REDN_T_04,ACC_AWD_S_T_04,ACC_AWD_SS_S_04,ACC_AWDEP_CL_04,ACC_AWDEP_NA_04,ACC_DD_OXN_T_04,ACC_DD_REDN_T_04,ACC_DD_S_T_04,ACC_DD_SS_S_04,ACC_DDEP_CL_04,ACC_DDEP_NA_04,ACC_TD_OXN_T_04,ACC_TD_REDN_T_04,ACC_TD_S_T_04,ACC_TD_SS_S_04,ACC_TDEP_CL_04,ACC_TDEP_NA_04,ACC_TD_N_04,source
3917164,0.25,0.2,0.31,0.08,1.63,1.16,1.66,0.45,0.46,0.14,2.24,2.07,1.91,0.65,0.77,0.21,3.87,3.23,2.56,ACC_CMAQ04_CONUS
3917172,0.25,0.2,0.31,0.08,1.63,1.16,1.66,0.45,0.46,0.14,2.24,2.07,1.91,0.65,0.77,0.21,3.87,3.23,2.56,ACC_CMAQ04_CONUS
3917176,0.22,0.19,0.27,0.06,1.33,0.95,1.58,0.4,0.42,0.13,2.05,1.92,1.81,0.59,0.69,0.19,3.38,2.87,2.39,ACC_CMAQ04_CONUS
3917178,0.22,0.19,0.26,0.06,1.29,0.93,1.58,0.4,0.42,0.12,2.03,1.91,1.79,0.58,0.68,0.19,3.33,2.83,2.38,ACC_CMAQ04_CONUS
3917194,0.22,0.2,0.26,0.06,1.29,0.9,1.55,0.29,0.37,0.11,1.8,1.73,1.77,0.49,0.63,0.17,3.09,2.63,2.26,ACC_CMAQ04_CONUS
3917198,0.22,0.19,0.27,0.06,1.36,0.97,1.53,0.41,0.41,0.12,1.96,1.83,1.75,0.6,0.68,0.18,3.32,2.8,2.35,ACC_CMAQ04_CONUS
3917200,0.22,0.19,0.27,0.06,1.35,0.97,1.48,0.41,0.39,0.12,1.88,1.76,1.7,0.59,0.66,0.18,3.23,2.72,2.3,ACC_CMAQ04_CONUS
3917230,0.2,0.17,0.22,0.04,0.88,0.67,0.79,0.48,0.19,0.04,0.61,0.57,0.99,0.64,0.41,0.08,1.48,1.24,1.64,ACC_CMAQ04_CONUS
3917244,0.25,0.21,0.26,0.06,1.2,0.86,1.25,0.39,0.32,0.08,1.22,1.17,1.5,0.6,0.58,0.13,2.42,2.03,2.1,ACC_CMAQ04_CONUS
3917912,0.21,0.19,0.26,0.06,1.26,0.91,1.57,0.39,0.42,0.12,2.02,1.9,1.79,0.58,0.68,0.18,3.29,2.81,2.37,ACC_CMAQ04_CONUS
3917914,0.11,0.12,0.13,0.02,0.38,0.32,1.44,0.37,0.37,0.11,1.84,1.74,1.56,0.49,0.52,0.13,2.21,2.06,2.04,ACC_CMAQ04_CONUS
3917916,0.19,0.18,0.23,0.05,1.04,0.74,1.52,0.33,0.38,0.11,1.84,1.76,1.71,0.51,0.61,0.16,2.88,2.5,2.22,ACC_CMAQ04_CONUS
3917918,0.22,0.19,0.27,0.06,1.36,0.97,1.57,0.4,0.42,0.12,2.03,1.9,1.8,0.59,0.69,0.19,3.39,2.87,2.39,ACC_CMAQ04_CONUS
3917920,0.21,0.16,0.24,0.06,1.28,0.93,0.94,0.45,0.24,0.06,0.96,0.91,1.16,0.61,0.48,0.12,2.24,1.84,1.76,ACC_CMAQ04_CONUS
3917922,0.2,0.15,0.23,0.06,1.21,0.89,0.8,0.45,0.2,0.04,0.7,0.68,1.01,0.59,0.42,0.1,1.91,1.56,1.6,ACC_CMAQ04_CONUS
3917946,0.24,0.21,0.26,0.06,1.19,0.86,1.24,0.39,0.32,0.08,1.21,1.15,1.49,0.6,0.57,0.13,2.4,2.01,2.09,ACC_CMAQ04_CONUS
3917948,0.22,0.19,0.27,0.06,1.34,0.96,1.47,0.41,0.39,0.11,1.86,1.74,1.69,0.59,0.66,0.18,3.2,2.7,2.29,ACC_CMAQ04_CONUS
3917950,0.25,0.21,0.26,0.06,1.2,0.86,1.26,0.39,0.32,0.08,1.23,1.18,1.51,0.6,0.58,0.13,2.43,2.04,2.11,ACC_CMAQ04_CONUS
948010089,0.2,0.15,0.23,0.06,1.21,0.89,0.8,0.45,0.2,0.04,0.7,0.68,1.01,0.59,0.42,0.1,1.91,1.56,1.6,ACC_CMAQ04_CONUS
