COMID,ACC_AWD_OXN_T_03,ACC_AWD_REDN_T_03,ACC_AWD_S_T_03,ACC_AWD_SS_S_03,ACC_AWDEP_CL_03,ACC_AWDEP_NA_03,ACC_DD_OXN_T_03,ACC_DD_REDN_T_03,ACC_DD_S_T_03,ACC_DD_SS_S_03,ACC_DDEP_CL_03,ACC_DDEP_NA_03,ACC_TD_OXN_T_03,ACC_TD_REDN_T_03,ACC_TD_S_T_03,ACC_TD_SS_S_03,ACC_TDEP_CL_03,ACC_TDEP_NA_03,ACC_TD_N_03,source
3917912,0.2,0.22,0.2,0.03,0.63,0.44,1.93,0.32,0.38,0.1,1.73,1.56,2.13,0.54,0.58,0.13,2.36,2,2.67,ACC_CMAQ03_CONUS
3917914,0.1,0.12,0.1,0.01,0.27,0.2,1.75,0.33,0.35,0.09,1.55,1.39,1.85,0.45,0.45,0.1,1.81,1.58,2.32,ACC_CMAQ03_CONUS
3917916,0.17,0.2,0.18,0.02,0.55,0.39,1.85,0.3,0.36,0.09,1.54,1.42,2.02,0.49,0.54,0.12,2.09,1.8,2.53,ACC_CMAQ03_CONUS
3917918,0.21,0.23,0.21,0.03,0.66,0.47,1.93,0.32,0.38,0.1,1.74,1.56,2.14,0.55,0.59,0.13,2.4,2.03,2.69,ACC_CMAQ03_CONUS
3917920,0.2,0.25,0.21,0.03,0.63,0.46,1.16,0.39,0.23,0.05,0.8,0.72,1.36,0.64,0.43,0.08,1.43,1.18,1.99,ACC_CMAQ03_CONUS
3917922,0.19,0.25,0.21,0.03,0.61,0.45,0.98,0.4,0.19,0.03,0.57,0.52,1.17,0.65,0.39,0.06,1.18,0.97,1.82,ACC_CMAQ03_CONUS
3917946,0.25,0.29,0.25,0.03,0.69,0.5,1.52,0.35,0.31,0.06,1,0.93,1.76,0.64,0.56,0.09,1.68,1.43,2.4,ACC_CMAQ03_CONUS
3917948,0.21,0.23,0.21,0.03,0.66,0.46,1.8,0.33,0.35,0.09,1.58,1.43,2.01,0.56,0.56,0.12,2.24,1.89,2.58,ACC_CMAQ03_CONUS
3917950,0.25,0.29,0.25,0.03,0.69,0.51,1.54,0.34,0.31,0.06,1.02,0.95,1.79,0.64,0.56,0.1,1.71,1.46,2.43,ACC_CMAQ03_CONUS
948010089,0.19,0.25,0.21,0.03,0.61,0.45,0.98,0.4,0.19,0.03,0.57,0.52,1.17,0.65,0.39,0.06,1.18,0.97,1.82,ACC_CMAQ03_CONUS
