COMID,ACC_WDJAN,ACC_WDFEB,ACC_WDMAR,ACC_WDAPR,ACC_WDMAY,ACC_WDJUN,ACC_WDJUL,ACC_WDAUG,ACC_WDSEP,ACC_WDOCT,ACC_WDNOV,ACC_WDDEC,ACC_NODATA,source
3917280,8.87,8.43,9.83,7.36,5.84,4.59,2,2.98,3,6.09,9.84,11.06,0,WD6190_ACC_CONUS
3917282,9.03,8.68,10.17,7.61,5.98,4.71,2,3,3,6.28,10.18,11.27,0,WD6190_ACC_CONUS
3917284,8.95,8.54,9.98,7.47,5.89,4.64,2,3,3,6.17,9.99,11.15,0,WD6190_ACC_CONUS
3917286,8,7,8,6,5,4,2,3,3,5,8,10,0,WD6190_ACC_CONUS
3917912,9.48,8.31,9.42,6.71,6.1,5,2,3,3.25,5.88,10.46,10.9,0,WD6190_ACC_CONUS
3917914,8.04,7.04,8.04,5.77,6,5,2,3,3,5.04,9.1,9.4,0,WD6190_ACC_CONUS
3917916,8.71,7.65,8.72,6.4,6.15,5,2,3,3.06,5.56,9.73,10.04,0,WD6190_ACC_CONUS
3917918,9.48,8.37,9.58,6.88,6.1,4.98,2,3,3.18,5.93,10.46,10.95,0,WD6190_ACC_CONUS
3917920,9,8.23,9.23,7,6,4.86,2,3,3,6,9.98,10.78,0,WD6190_ACC_CONUS
3917922,8.97,7.51,8.51,6.51,5.97,4.97,2,2.97,3,6,9.08,10.11,0,WD6190_ACC_CONUS
3917946,9.12,8.06,9.28,6.96,5.85,4.42,2,2.71,2.93,5.65,9.86,10.39,0,WD6190_ACC_CONUS
3917948,9.39,8.27,9.45,6.85,6.07,4.95,2,2.99,3.16,5.94,10.3,10.87,0,WD6190_ACC_CONUS
3917950,9.16,8.14,9.37,7,5.88,4.43,2,2.74,2.93,5.67,9.94,10.44,0,WD6190_ACC_CONUS
3917956,10.44,9,10.06,7.08,6.5,5,2,3,3.49,6.76,10.77,11.99,0,WD6190_ACC_CONUS
3917958,9.34,9,10.61,7.66,6,5,2,3,3,6.94,10.62,11.96,0,WD6190_ACC_CONUS
3917960,9.02,9,10.96,7.98,6,5,2,3,3,6.4,10.97,11.97,0,WD6190_ACC_CONUS
948010089,8.97,7.55,8.55,6.55,5.97,4.97,2,2.97,3,6,9.07,10.1,0,WD6190_ACC_CONUS
