COMID,ACC_AQ101,ACC_AQ102,ACC_AQ103,ACC_AQ104,ACC_AQ105,ACC_AQ106,ACC_AQ107,ACC_AQ108,ACC_AQ109,ACC_AQ110,ACC_AQ111,ACC_AQ112,ACC_AQ114,ACC_AQ115,ACC_AQ116,ACC_AQ117,ACC_AQ201,ACC_AQ202,ACC_AQ203,ACC_AQ204,ACC_AQ205,ACC_AQ301,ACC_AQ302,ACC_AQ304,ACC_AQ305,ACC_AQ306,ACC_AQ307,ACC_AQ308,ACC_AQ309,ACC_AQ310,ACC_AQ311,ACC_AQ312,ACC_AQ313,ACC_AQ314,ACC_AQ315,ACC_AQ316,ACC_AQ401,ACC_AQ402,ACC_AQ405,ACC_AQ406,ACC_AQ407,ACC_AQ410,ACC_AQ411,ACC_AQ412,ACC_AQ413,ACC_AQ414,ACC_AQ416,ACC_AQ417,ACC_AQ418,ACC_AQ419,ACC_AQ420,ACC_AQ501,ACC_AQ502,ACC_AQ503,ACC_AQ504,ACC_AQ505,ACC_AQ601,ACC_AQ606,ACC_AQ607,ACC_AQ608,ACC_AQ609,ACC_AQ610,ACC_AQ611,ACC_AQ999,ACC_AQ_NODATA,source
3917244,0,0,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,45.93,0,AQUIFERS_ACC_CONUS
3917250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,96.26,0,AQUIFERS_ACC_CONUS
3917256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.22,0,75.78,0,AQUIFERS_ACC_CONUS
3917268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.23,0,76.77,0,AQUIFERS_ACC_CONUS
3917272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.16,0,62.84,0,AQUIFERS_ACC_CONUS
3917274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,AQUIFERS_ACC_CONUS
3917276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,99.75,0,AQUIFERS_ACC_CONUS
3917278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,99.8,0,AQUIFERS_ACC_CONUS
3917280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,99.86,0,AQUIFERS_ACC_CONUS
3917282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,99.83,0,AQUIFERS_ACC_CONUS
