COMID,CAT_ROCKTYPE_100,CAT_ROCKTYPE_200,CAT_ROCKTYPE_300,CAT_ROCKTYPE_400,CAT_ROCKTYPE_500,CAT_ROCKTYPE_600,CAT_ROCKTYPE_999,CAT_ROCKTYPE_NODATA,ACC_ROCKTYPE_100,ACC_ROCKTYPE_200,ACC_ROCKTYPE_300,ACC_ROCKTYPE_400,ACC_ROCKTYPE_500,ACC_ROCKTYPE_600,ACC_ROCKTYPE_999,ACC_ROCKTYPE_NODATA,TOT_ROCKTYPE_100,TOT_ROCKTYPE_200,TOT_ROCKTYPE_300,TOT_ROCKTYPE_400,TOT_ROCKTYPE_500,TOT_ROCKTYPE_600,TOT_ROCKTYPE_999,TOT_ROCKTYPE_NODATA,source
3917268,0,0,0,0,0,23.23,76.77,0,0,0,0,0,0,33.17,66.83,0,0,0,0,0,0,33.17,66.83,0,ROCK_TYPES_CONUS
3917272,0,0,0,0,0,37.16,62.84,0,0,0,0,0,0,49.29,50.71,0,0,0,0,0,0,49.29,50.71,0,ROCK_TYPES_CONUS
3917274,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,ROCK_TYPES_CONUS
3917276,0,0,0,0,0,0.25,99.75,0,0,0,0,0,0,0.32,99.68,0,0,0,0,0,0,0.32,99.68,0,ROCK_TYPES_CONUS
3917278,0,0,0,0,0,0.2,99.8,0,0,0,0,0,0,0.3,99.7,0,0,0,0,0,0,0.3,99.7,0,ROCK_TYPES_CONUS
3917280,0,0,0,0,0,0.15,99.85,0,0,0,0,0,0,0.25,99.75,0,0,0,0,0,0,0.25,99.75,0,ROCK_TYPES_CONUS
3917282,0,0,0,0,0,0.17,99.83,0,0,0,0,0,0,0.28,99.72,0,0,0,0,0,0,0.28,99.72,0,ROCK_TYPES_CONUS
3917284,0,0,0,0,0,0.16,99.84,0,0,0,0,0,0,0.26,99.74,0,0,0,0,0,0,0.26,99.74,0,ROCK_TYPES_CONUS
3917286,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,ROCK_TYPES_CONUS
3917912,0,0,0,0,0,97.72,2.28,0,0,0,0,0,0,99.87,0.13,0,0,0,0,0,0,99.87,0.13,0,ROCK_TYPES_CONUS
