ID,COMID,TOT_TAV_JAN_2017,TOT_TAV_FEB_2017,TOT_TAV_MAR_2017,TOT_TAV_APR_2017,TOT_TAV_MAY_2017,TOT_TAV_JUN_2017,TOT_TAV_JUL_2017,TOT_TAV_AUG_2017,TOT_TAV_SEP_2017,TOT_TAV_OCT_2017,TOT_TAV_NOV_2017,TOT_TAV_DEC_2017,source
406373,3917172,-1.2,1.92,4.52,4.9,11.86,16.05,22.09,22.56,16.61,9.77,3.73,2.11,TOT_TAV_2017
406375,3917176,-1.68,1.26,3.8,3.88,10.95,15.07,21.26,21.68,15.75,9.09,3.09,1.91,TOT_TAV_2017
406376,3917178,-1.74,1.16,3.68,3.73,10.82,14.93,21.15,21.57,15.64,9,2.98,1.88,TOT_TAV_2017
406383,3917194,-1.94,0.75,3.24,3.19,10.37,14.43,20.84,21.21,15.29,8.66,2.59,1.69,TOT_TAV_2017
406384,3917198,-1.45,1.72,4.29,4.47,11.47,15.63,21.68,22.07,16.14,9.41,3.54,1.95,TOT_TAV_2017
406385,3917200,-1.39,1.88,4.45,4.67,11.62,15.82,21.81,22.18,16.26,9.5,3.69,1.93,TOT_TAV_2017
406388,3917212,-0.83,2.78,5.4,5.77,12.61,16.91,22.5,22.85,16.95,10.13,4.56,2.07,TOT_TAV_2017
406389,3917214,-0.51,3.86,6.53,7.06,13.73,18.14,23.4,23.71,17.76,10.65,5.62,1.77,TOT_TAV_2017
406391,3917218,-0.79,3.01,5.64,6.05,12.85,17.17,22.69,23.02,17.11,10.22,4.79,1.99,TOT_TAV_2017
406392,3917220,-0.78,3.09,5.72,6.14,12.93,17.26,22.74,23.08,17.16,10.25,4.86,1.96,TOT_TAV_2017
406395,3917228,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,TOT_TAV_2017
406396,3917230,-0.81,4.51,7.13,7.72,14.32,18.95,24.12,24.22,18.23,10.65,6.05,0.83,TOT_TAV_2017
406398,3917244,-1.09,2.43,4.98,5.24,12.25,16.34,21.9,22.23,16.37,9.68,4.27,1.83,TOT_TAV_2017
406399,3917250,-0.98,2.4,4.98,5.26,12.18,16.45,22.13,22.52,16.64,9.88,4.16,2.04,TOT_TAV_2017
406402,3917256,-1.49,1.72,4.22,4.43,11.39,15.62,21.42,21.81,15.94,9.25,3.48,1.84,TOT_TAV_2017
406406,3917268,-1.46,1.82,4.32,4.55,11.5,15.73,21.5,21.89,16.02,9.3,3.57,1.83,TOT_TAV_2017
406408,3917272,-1.83,1.11,3.53,3.66,10.7,14.88,20.82,21.22,15.38,8.78,2.86,1.79,TOT_TAV_2017
406409,3917274,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,TOT_TAV_2017
406410,3917276,-1.65,1.1,3.52,3.56,10.73,14.87,20.9,21.31,15.48,8.88,2.81,2.02,TOT_TAV_2017
406411,3917278,-1.42,1.5,3.97,4.08,11.19,15.37,21.3,21.71,15.86,9.2,3.24,2.03,TOT_TAV_2017
406412,3917280,-1.16,2.22,4.75,4.99,11.97,16.22,21.91,22.3,16.42,9.62,3.97,1.94,TOT_TAV_2017
406413,3917282,-1.29,1.84,4.34,4.51,11.57,15.77,21.6,22,16.14,9.41,3.58,2,TOT_TAV_2017
406414,3917284,-1.21,2.05,4.57,4.78,11.79,16.02,21.77,22.17,16.3,9.53,3.8,1.97,TOT_TAV_2017
406415,3917286,-0.47,4.17,6.85,7.44,14.04,18.47,23.48,23.82,17.88,10.72,5.95,1.75,TOT_TAV_2017
406496,3917912,-1.79,1.08,3.58,3.61,10.71,14.81,21.07,21.49,15.55,8.93,2.9,1.85,TOT_TAV_2017
406497,3917914,-1.37,1.87,4.48,4.33,11.34,15.43,21.74,22.18,16.16,9.55,3.58,2.11,TOT_TAV_2017
406498,3917916,-1.67,1.28,3.83,3.74,10.84,14.92,21.26,21.67,15.69,9.07,3.05,1.92,TOT_TAV_2017
406499,3917918,-1.52,1.57,4.12,4.27,11.3,15.45,21.55,21.95,16.02,9.31,3.38,1.95,TOT_TAV_2017
406500,3917920,-0.48,3.91,6.59,7.21,13.81,18.24,23.52,23.73,17.81,10.79,5.66,2.03,TOT_TAV_2017
406501,3917922,-0.54,4.15,6.79,7.48,13.9,18.55,23.71,23.82,18.08,10.84,5.97,1.64,TOT_TAV_2017
406511,3917946,-1.08,2.46,5.01,5.29,12.29,16.39,21.94,22.27,16.41,9.7,4.3,1.81,TOT_TAV_2017
406512,3917948,-1.38,1.93,4.5,4.72,11.67,15.87,21.85,22.22,16.29,9.52,3.74,1.92,TOT_TAV_2017
406513,3917950,-1.09,2.4,4.95,5.21,12.22,16.31,21.87,22.21,16.35,9.67,4.25,1.84,TOT_TAV_2017
406516,3917956,-2.45,0.09,2.4,2.41,9.56,13.66,19.82,20.23,14.42,7.98,1.84,1.66,TOT_TAV_2017
406517,3917958,-2.23,0.39,2.69,2.67,9.84,13.94,20.07,20.49,14.66,8.21,2.04,1.89,TOT_TAV_2017
406518,3917960,-2.06,0.58,2.91,2.86,10.06,14.17,20.29,20.7,14.87,8.38,2.23,1.93,TOT_TAV_2017
2695742,948010089,-0.54,4.15,6.79,7.48,13.9,18.55,23.71,23.82,18.08,10.84,5.97,1.64,TOT_TAV_2017
